*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=mux.2023.0.0
*Date=15:03:32
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;100k;THT;163.76;-262.748;90;Bottom;R44
2;;diode-1n4001;167.68;-175.065;-90;Bottom;D39
3;100k;THT;30.1205;-226.588;-90;Bottom;R10
4;;diode-1n4001;167.77;-140.985;-90;Bottom;D37
5;12V;THT;114.228;-259.905;0;Bottom;OMRON28
6;;to-92;28.1191;-184.938;-90;Bottom;Q8
7;;;45.7302;-44.1275;0;Bottom;MCP23017-1
8;;to-92;231.174;-117.232;-90;Bottom;Q52
9;100k;THT;29.8205;-312.387;-90;Bottom;R15
10;;diode-1n4001;235.743;-141.046;-90;Bottom;D53
11;;to-92;163.201;-271.171;-90;Bottom;Q45
12;;;142.177;-333.938;0;Bottom;Hole9
13;;to-92;231.079;-82.9618;-90;Bottom;Q50
14;100k;THT;163.76;-108.248;90;Bottom;R35
15;;to-92;95.193;-306.141;-90;Bottom;Q31
16;100k;THT;232.26;-297.248;90;Bottom;R62
17;;to-92;95.0872;-219.905;-90;Bottom;Q26
18;12V;THT;182.247;-122.901;0;Bottom;OMRON36
19;;to-92;95.0872;-202.905;-90;Bottom;Q25
20;100k;THT;96.7602;-91.2475;90;Bottom;R18
21;;to-92;163.201;-66.1713;-90;Bottom;Q33
22;;to-92;95.1823;-254.175;-90;Bottom;Q28
23;;diode-1n4001;32.7602;-294.018;-90;Bottom;D14
24;;THT;193.397;-351.759;-90;Bottom;33-48
25;100k;THT;96.7602;-278.748;90;Bottom;R29
26;;THT;10.7961;-312.599;0;Bottom;J15
27;;;112.76;-70.9375;0;Bottom;Via2
28;;;180.717;-45.0914;0;Bottom;MCP23017-3
29;;diode-1n4001;99.7283;-72.825;-90;Bottom;D17
30;12V;THT;250.22;-71.9618;0;Bottom;OMRON49
31;12V;THT;47.2602;-241.938;0;Bottom;OMRON11
32;100k;THT;96.7602;-107.747;90;Bottom;R19
33;;diode-1n4001;235.63;-158.122;-90;Bottom;D54
34;12V;THT;114.228;-105.905;0;Bottom;OMRON19
35;;diode-1n4001;32.7832;-140.022;-90;Bottom;D5
36;12V;THT;114.228;-208.905;0;Bottom;OMRON25
37;100k;THT;163.76;-279.748;90;Bottom;R45
38;;to-92;163.106;-133.901;-90;Bottom;Q37
39;220;THT;45.4102;-61.0772;0;Bottom;R1
40;;diode-1n4001;167.747;-89.8214;-90;Bottom;D34
41;100k;THT;232.26;-279.748;90;Bottom;R61
42;;to-92;163.106;-219.901;-90;Bottom;Q42
43;100k;THT;30.1205;-89.3475;-90;Bottom;R2
44;;to-92;95.0872;-168.905;-90;Bottom;Q23
45;;diode-1n4001;32.7602;-225.857;-90;Bottom;D10
46;;;20.7289;-324.933;0;Bottom;TXT3
47;;to-92;28.2141;-322.207;-90;Bottom;Q16
48;12V;THT;250.22;-259.962;0;Bottom;OMRON60
49;;;20.6057;-314.93;0;Bottom;TXT3
50;;to-92;28.2141;-116.207;-90;Bottom;Q4
51;;to-92;163.106;-99.9012;-90;Bottom;Q35
52;100k;THT;164.26;-314.248;90;Bottom;R47
53;;;279.76;-6.93876;0;Bottom;Hole11
54;100k;THT;96.7602;-193.248;90;Bottom;R24
55;;to-92;28.2141;-253.207;-90;Bottom;Q12
56;;to-92;95.1823;-66.175;-90;Bottom;Q17
57;;diode-1n4001;99.7283;-192.825;-90;Bottom;D24
58;;diode-1n4001;235.72;-278.042;-90;Bottom;D61
59;;diode-1n4001;32.7602;-71.8575;-90;Bottom;D1
60;;diode-1n4001;167.747;-328.981;-90;Bottom;D48
61;;diode-1n4001;167.747;-192.821;-90;Bottom;D40
62;;to-92;95.0872;-133.905;-90;Bottom;Q21
63;100k;THT;232.76;-143.248;90;Bottom;R53
64;100k;THT;29.4205;-140.788;-90;Bottom;R5
65;12V;THT;47.2986;-173.938;0;Bottom;OMRON7
66;;diode-1n4001;235.72;-295.042;-90;Bottom;D62
67;100k;THT;22.4102;-328.077;0;Bottom;R16
68;;;142.177;-190.185;0;Bottom;Hole8
69;;to-92;231.079;-133.962;-90;Bottom;Q53
70;100k;THT;29.7205;-277.688;-90;Bottom;R13
71;;diode-1n4001;32.7602;-243.017;-90;Bottom;D11
72;;THT;89.3002;-9.79465;-90;Bottom;I2C
73;12V;THT;250.231;-310.928;0;Bottom;OMRON63
74;100k;THT;163.76;-91.2475;90;Bottom;R34
75;12V;THT;114.228;-71.905;0;Bottom;OMRON17
76;;;135.03;-13.5575;-90;Bottom;TCA9548
77;12V;THT;114.228;-88.905;0;Bottom;OMRON18
78;100k;THT;29.5205;-175.588;-90;Bottom;R7
79;;to-92;231.174;-237.232;-90;Bottom;Q59
80;12V;THT;182.247;-225.901;0;Bottom;OMRON42
81;100k;THT;232.26;-194.748;90;Bottom;R56
82;12V;THT;182.247;-105.901;0;Bottom;OMRON35
83;;to-92;231.185;-306.198;-90;Bottom;Q63
84;12V;THT;182.247;-191.901;0;Bottom;OMRON40
85;;diode-1n4001;167.747;-123.821;-90;Bottom;D36
86;12V;THT;250.22;-225.962;0;Bottom;OMRON58
87;12V;THT;250.258;-157.962;0;Bottom;OMRON54
88;100k;THT;163.76;-177.248;90;Bottom;R39
89;;;232.697;-5.91136;0;Bottom;TXT1
90;;diode-1n4001;32.6702;-157.097;-90;Bottom;D6
91;12V;THT;182.247;-327.901;0;Bottom;OMRON48
92;100k;THT;29.7205;-260.688;-90;Bottom;R12
