*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=mb.2023.0.0
*Date=14:43:53
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;10M;THT;22.0246;-62.7383;180;Bottom;R31
2;;;47.2186;-36.3016;0;Bottom;Copper Fill28
3;;;115.405;-13.8099;0;Bottom;Copper Fill78
4;;;9.45634;-2.75372;0;Bottom;TXT2
5;;;4.12741;-2.75372;0;Bottom;TXT2
6;;;56.0832;-50.1701;0;Bottom;Copper Fill44
7;;;41.3004;-7.54882;0;Bottom;Copper Fill54
8;;;58.3184;-18.4073;0;Bottom;Copper Fill19
9;;;90.0049;-42.9945;0;Bottom;Copper Fill117
10;;dip08;22.1347;-51.0483;180;Bottom;LM358-1
11;;;87.4649;-42.9945;0;Bottom;Copper Fill113
12;;;116.256;-14.6608;0;Bottom;Copper Fill80
13;;THT;119.275;-29.9136;0;Bottom;U3
14;;;31.0261;-54.2722;0;Bottom;Copper Fill63
15;;;68.0466;-32.7076;0;Bottom;Copper Fill17
16;;;58.3184;-15.8673;0;Bottom;Copper Fill20
17;;;26.2128;-62.7685;0;Bottom;Copper Fill107
18;;;78.1558;-17.2008;0;Bottom;Copper Fill39
19;;;69.6849;-42.9945;0;Bottom;Copper Fill52
20;;;2.4257;-26.0781;0;Bottom;Copper Fill95
21;;;109.093;-43.7312;0;Bottom;Copper Fill7
22;;;45.5422;-33.7616;0;Bottom;Copper Fill32
23;;;5.4229;-46.449;0;Bottom;Copper Fill122
24;;;58.9447;-4.73836;0;Bottom;Hole2
25;10M;THT;10.5246;-47.2383;180;Bottom;R32
26;;;110.325;-51.8846;0;Bottom;Copper Fill104
27;;;115.405;-27.7799;0;Bottom;Copper Fill72
28;;;78.1558;-22.2808;0;Bottom;Copper Fill37
29;;;83.4592;-63.14;0;Bottom;TXT3
30;;;58.3184;-38.7273;0;Bottom;Copper Fill9
31;;;78.1558;-19.7408;0;Bottom;Copper Fill26
32;;;23.7109;-42.4357;0;Bottom;Copper Fill84
33;;;4.5212;-56.6217;0;Bottom;Copper Fill82
34;;;42.0116;-62.6669;0;Bottom;Copper Fill59
35;;;122.174;-31.1708;0;Bottom;Copper Fill76
36;;;83.1957;-43.63;-90;Bottom;Raspberry Pi 1
37;;;58.3184;-33.6473;0;Bottom;Copper Fill11
38;;;107.785;-41.7753;0;Bottom;Copper Fill108
39;;;42.9768;-7.54882;0;Bottom;Copper Fill55
40;;;40.3352;-62.6669;0;Bottom;Copper Fill58
41;;;127.292;-56.4566;0;Bottom;Copper Fill100
42;;;58.3184;-43.8074;0;Bottom;Copper Fill6
43;;;58.3184;-51.4274;0;Bottom;Copper Fill3
44;;THT;119.275;-15.9436;0;Bottom;U1
45;;;22.7838;-43.3629;0;Bottom;Copper Fill85
46;;;27.0637;-63.6194;0;Bottom;Copper Fill105
47;1.5k;THT;106.575;-24.7483;0;Bottom;R2
48;;;53.1015;-45.1635;90;Bottom;ADS1115-1
49;;;56.0832;-45.0901;0;Bottom;Copper Fill42
50;;;114.554;-14.6608;0;Bottom;Copper Fill79
51;;;14.4889;-2.75372;0;Bottom;TXT2
52;0.2;THT;119.275;-48.8783;90;Bottom;Shunt
53;;;76.454;-19.7408;0;Bottom;Copper Fill25
54;;;90.8304;-43.8201;0;Bottom;Copper Fill118
55;;;19.4945;-9.64432;0;Bottom;Copper Fill89
56;;;111.655;-48.8783;90;Bottom;INA282
57;;;58.3184;-13.3273;0;Bottom;Copper Fill21
58;;THT;130.112;-9.72221;90;Bottom;J15
59;;;60.4266;-19.7408;0;Bottom;Copper Fill40
60;;;76.454;-7.04082;0;Bottom;Copper Fill49
61;;;112.865;-53.5864;0;Bottom;Copper Fill119
62;;;47.2186;-54.0817;0;Bottom;Copper Fill30
63;;;26.9113;-23.6397;0;Bottom;Copper Fill91
64;;;5.44558;-1.19268;0;Bottom;TXT4
65;;;11.9888;-25.278;0;Bottom;Copper Fill36
66;;;115.405;-35.3745;0;Bottom;Copper Fill68
67;;;6.84718;-25.2084;0;Bottom;TRN3-1215
68;;;47.2186;-33.7616;0;Bottom;Copper Fill33
69;;;27.0637;-61.943;0;Bottom;Copper Fill106
70;;;98.3869;-10.3555;0;Bottom;Copper Fill23
71;;;129.546;-63.2125;0;Bottom;TXT2
72;;;4.5466;-47.2745;0;Bottom;Copper Fill123
73;;;78.1558;-7.04082;0;Bottom;Copper Fill50
74;;;114.554;-28.6308;0;Bottom;Copper Fill73
75;1.5k;THT;10.5246;-53.2383;180;Bottom;R30
76;;;58.3184;-31.1073;0;Bottom;Copper Fill12
77;;;107.945;-4.73836;0;Bottom;Hole1
78;;;116.256;-36.2;0;Bottom;Copper Fill69
79;;;123.876;-31.1708;0;Bottom;Copper Fill77
80;;;1.6256;-25.278;0;Bottom;Copper Fill97
81;;THT;9.92886;-38.5713;180;Bottom;J17
82;;;9.3345;-9.64432;0;Bottom;Copper Fill111
83;;;6.2484;-47.2745;0;Bottom;Copper Fill124
84;;THT;99.8418;-13.7382;0;Bottom;I2C-MUX1
85;100nF;100 mil [THT, multilayer];109.11;-42.5283;0;Bottom;C1
86;;;110.325;-53.5864;0;Bottom;Copper Fill103
87;100nF;100 mil [THT, multilayer];36.6768;-44.2037;-45;Bottom;C9
88;;;60.4266;-40.01;0;Bottom;Copper Fill45
89;;;26.0604;-22.7888;0;Bottom;Copper Fill93
90;;;56.0832;-24.8208;0;Bottom;Copper Fill43
91;;;2.45656;-41.1132;90;Bottom;TXT2
92;;;58.3184;-26.0273;0;Bottom;Copper Fill14
93;;;45.5422;-54.0817;0;Bottom;Copper Fill29
94;;;87.4649;-44.671;0;Bottom;Copper Fill112
