TCA_address,TCA_channel,MCP_address,Electrode_id,MCP_GPIO,Role
None,0,0x22,1,0,A
None,0,0x22,2,1,A
None,0,0x22,3,2,A
None,0,0x22,4,3,A
None,0,0x22,5,4,A
None,0,0x22,6,5,A
None,0,0x22,7,6,A
None,0,0x22,8,7,A
None,0,0x22,1,8,B
None,0,0x22,2,9,B
None,0,0x22,3,10,B
None,0,0x22,4,11,B
None,0,0x22,5,12,B
None,0,0x22,6,13,B
None,0,0x22,7,14,B
None,0,0x22,8,15,B
None,0,0x23,8,0,M
None,0,0x23,7,1,M
None,0,0x23,6,2,M
None,0,0x23,5,3,M
None,0,0x23,4,4,M
None,0,0x23,3,5,M
None,0,0x23,2,6,M
None,0,0x23,1,7,M
None,0,0x23,8,8,N
None,0,0x23,7,9,N
None,0,0x23,6,10,N
None,0,0x23,5,11,N
None,0,0x23,4,12,N
None,0,0x23,3,13,N
None,0,0x23,2,14,N
None,0,0x23,1,15,N
