*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=card_measure_raspberry_v3.15
*Date=09:53:26
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;106.985;-42.55;0;Bottom;Copper Fill109
2;;;26.0604;-22.7888;0;Bottom;Copper Fill93
3;;THT;129.778;-56.2543;-90;Bottom;J14
4;;;58.3184;-23.4873;0;Bottom;Copper Fill16
5;;;14.4889;-2.75372;0;Bottom;TXT2
6;;;122.174;-23.5508;0;Bottom;Copper Fill66
7;;;45.5422;-33.7616;0;Bottom;Copper Fill32
8;;;19.4945;-11.9557;0;Bottom;Copper Fill88
9;;;11.9888;-25.278;0;Bottom;Copper Fill36
10;;;87.1982;-14.2163;0;Bottom;Copper Fill15
11;;;116.256;-28.6308;0;Bottom;Copper Fill74
12;;;5.44558;-1.19268;0;Bottom;TXT4
13;;;45.5422;-54.0817;0;Bottom;Copper Fill29
14;;THT;119.275;-15.9436;0;Bottom;U1
15;;;47.2186;-36.3016;0;Bottom;Copper Fill28
16;;THT;119.275;-22.2936;0;Bottom;U2
17;;THT;119.275;-37.5336;0;Bottom;U4
18;;;114.554;-14.6608;0;Bottom;Copper Fill79
19;;;58.3184;-53.9674;0;Bottom;Copper Fill2
20;;dip08;22.1347;-51.0483;180;Bottom;LM358-1
21;;;27.0637;-63.6194;0;Bottom;Copper Fill105
22;;;58.3184;-36.1873;0;Bottom;Copper Fill10
23;;;30.226;-55.0469;0;Bottom;Copper Fill64
24;;;69.6849;-44.671;0;Bottom;Copper Fill51
25;;;58.3184;-15.8673;0;Bottom;Copper Fill20
26;;;122.174;-31.1708;0;Bottom;Copper Fill76
27;;;9.45634;-2.75372;0;Bottom;TXT2
28;;;58.3184;-28.5673;0;Bottom;Copper Fill13
29;;;116.256;-14.6608;0;Bottom;Copper Fill80
30;;;112.865;-45.9664;0;Bottom;Copper Fill114
31;1.5k;THT;106.575;-24.7483;0;Bottom;R2
32;1.5k;THT;26.0141;-60.2335;180;Bottom;R28
33;;;4.12741;-2.75372;0;Bottom;TXT2
34;;;40.3352;-62.6669;0;Bottom;Copper Fill58
35;;;87.4649;-42.9945;0;Bottom;Copper Fill113
36;;;53.1015;-45.1635;90;Bottom;ADS1115-1
37;;;56.0832;-32.39;0;Bottom;Copper Fill41
38;;;18.2753;-55.6946;0;Bottom;Copper Fill98
39;;;42.9768;-7.54882;0;Bottom;Copper Fill55
40;;;58.3184;-41.2673;0;Bottom;Copper Fill8
41;;;115.405;-13.8099;0;Bottom;Copper Fill78
42;;;9.3345;-11.9557;0;Bottom;Copper Fill110
43;;;47.2186;-54.0817;0;Bottom;Copper Fill30
44;;;11.2141;-24.5033;0;Bottom;Copper Fill35
45;;;18.2753;-54.1452;0;Bottom;Copper Fill99
46;;;90.0049;-44.671;0;Bottom;Copper Fill116
47;;;123.876;-23.5508;0;Bottom;Copper Fill67
48;;;60.4266;-19.7408;0;Bottom;Copper Fill40
49;;THT;12.0317;-9.72221;90;Bottom;J16
50;10M;THT;22.0246;-62.7383;180;Bottom;R31
51;;;78.1558;-22.2808;0;Bottom;Copper Fill37
52;;;59.5249;-58.7172;0;Bottom;Copper Fill47
