*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ohmPi_MUX_64elec_I2C
*Date=19:49:17
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;to-92;231.079;-219.962;-90;Bottom;Q58
2;100k;THT;96.7602;-159.247;90;Bottom;R22
3;;to-92;163.201;-117.171;-90;Bottom;Q36
4;;to-92;231.174;-323.231;-90;Bottom;Q64
5;12V;THT;47.2602;-190.937;0;Bottom;OMRON8
6;;diode-1n4001;99.7283;-106.825;-90;Bottom;D19
7;;to-92;95.1823;-237.175;-90;Bottom;Q27
8;;;248.69;-45.1518;0;Bottom;MCP23017-4
9;;;279.76;-366.938;0;Bottom;Hole10
10;;diode-1n4001;99.739;-311.951;-90;Bottom;D31
11;12V;THT;114.228;-225.905;0;Bottom;OMRON26
12;;;180.76;-70.9375;0;Bottom;Via3
13;12V;THT;47.2986;-173.938;0;Bottom;OMRON7
14;12V;THT;114.228;-259.905;0;Bottom;OMRON28
15;12V;THT;250.22;-242.962;0;Bottom;OMRON59
16;100k;THT;96.7602;-227.247;90;Bottom;R26
17;12V;THT;114.228;-327.905;0;Bottom;OMRON32
18;12V;THT;182.286;-140.901;0;Bottom;OMRON37
19;100k;THT;29.5205;-175.588;-90;Bottom;R7
20;;to-92;95.0872;-219.905;-90;Bottom;Q26
21;12V;THT;182.258;-310.868;0;Bottom;OMRON47
22;;to-92;163.201;-323.171;-90;Bottom;Q48
23;100k;THT;30.1205;-209.588;-90;Bottom;R9
24;;to-92;163.106;-202.901;-90;Bottom;Q52
25;;to-92;163.212;-306.137;-90;Bottom;Q47
26;;;162.264;-13.6543;0;Bottom;TXT4
27;100k;THT;163.76;-211.748;90;Bottom;R41
28;;THT;161.76;-7.93763;0;Bottom;J20
29;100k;THT;161.26;-72.7475;90;Bottom;R33
30;;;20.7289;-324.933;0;Bottom;TXT3
31;;diode-1n4001;235.653;-175.126;-90;Bottom;D55
32;12V;THT;114.239;-310.871;0;Bottom;OMRON31
33;100k;THT;232.26;-297.248;90;Bottom;R62
34;;;142.177;-333.938;0;Bottom;Hole9
35;;diode-1n4001;32.7602;-277.018;-90;Bottom;D13
36;100k;THT;163.76;-177.248;90;Bottom;R39
37;;;135.03;-13.5575;-90;Bottom;TCA9548
38;;diode-1n4001;99.7283;-89.8251;-90;Bottom;D18
39;;diode-1n4001;32.6932;-174.102;-90;Bottom;D7
40;12V;THT;250.22;-225.962;0;Bottom;OMRON58
41;;to-92;95.0872;-202.905;-90;Bottom;Q25
42;;to-92;28.2141;-270.208;-90;Bottom;Q24
43;12V;THT;182.247;-122.901;0;Bottom;OMRON36
44;;to-92;163.106;-99.9012;-90;Bottom;Q35
45;;to-92;28.2141;-65.2075;-90;Bottom;Q1
46;;to-92;231.079;-168.962;-90;Bottom;Q55
47;12V;THT;182.247;-88.9014;0;Bottom;OMRON34
48;;to-92;163.106;-133.901;-90;Bottom;Q37
49;100k;THT;232.26;-314.248;90;Bottom;R63
50;;to-92;28.1191;-81.9375;-90;Bottom;Q2
51;;diode-1n4001;167.747;-226.821;-90;Bottom;D42
52;;diode-1n4001;32.7602;-122.858;-90;Bottom;D4
53;;diode-1n4001;167.747;-328.981;-90;Bottom;D48
54;;;20.6057;-314.93;0;Bottom;TXT3
55;100k;THT;96.7602;-91.2475;90;Bottom;R18
56;;;282.067;-102.13;90;Bottom;TXT3
57;;to-92;231.174;-271.232;-90;Bottom;Q61
58;100k;THT;96.7602;-210.748;90;Bottom;R25
59;100k;THT;29.7205;-277.688;-90;Bottom;R13
60;12V;THT;250.22;-327.962;0;Bottom;OMRON64
61;;diode-1n4001;99.7283;-260.985;-90;Bottom;D28
62;;to-92;231.079;-133.962;-90;Bottom;Q53
63;;to-92;163.106;-151.901;-90;Bottom;Q38
64;;diode-1n4001;32.7602;-105.857;-90;Bottom;D3
65;;to-92;231.079;-99.9615;-90;Bottom;Q51
66;12V;THT;47.2602;-207.937;0;Bottom;OMRON9
67;;to-92;163.201;-66.1713;-90;Bottom;Q33
68;100k;THT;163.76;-108.248;90;Bottom;R35
69;;to-92;231.174;-254.232;-90;Bottom;Q60
70;;to-92;163.201;-237.171;-90;Bottom;Q43
71;100k;THT;232.26;-228.248;90;Bottom;R58
72;100k;THT;22.4102;-328.077;0;Bottom;R16
73;100k;THT;163.76;-245.748;90;Bottom;R43
74;12V;THT;114.228;-293.905;0;Bottom;OMRON30
75;12V;THT;182.247;-71.9014;0;Bottom;OMRON33
76;12V;THT;182.247;-225.901;0;Bottom;OMRON42
77;12V;THT;114.267;-140.905;0;Bottom;OMRON21
78;100k;THT;163.76;-296.747;90;Bottom;R46
79;;;279.76;-6.93876;0;Bottom;Hole11
80;;to-92;231.079;-82.9618;-90;Bottom;Q50
81;12V;THT;114.267;-174.905;0;Bottom;OMRON23
82;;diode-1n4001;167.747;-294.981;-90;Bottom;D46
83;12V;THT;114.228;-208.905;0;Bottom;OMRON25
84;100k;THT;96.7602;-176.248;90;Bottom;R23
85;;diode-1n4001;235.72;-209.882;-90;Bottom;D57
86;12V;THT;114.228;-276.905;0;Bottom;OMRON29
87;;;56.9095;-340.104;0;Bottom;TXT1
88;;;5.76024;-190.185;0;Bottom;Hole12
89;;to-92;95.0872;-168.905;-90;Bottom;Q23
90;;diode-1n4001;235.63;-158.122;-90;Bottom;D54
91;100k;THT;29.9205;-106.647;-90;Bottom;R3
92;;to-92;28.1191;-150.937;-90;Bottom;Q20
93;;to-92;95.1823;-254.175;-90;Bottom;Q28
94;;to-92;28.1191;-184.938;-90;Bottom;Q4
95;12V;THT;47.2602;-326.938;0;Bottom;OMRON16
96;100k;THT;163.76;-160.248;90;Bottom;R38
97;;diode-1n4001;32.7708;-310.984;-90;Bottom;D15
