"Source:","C:\Users\reclement\Documents\39_ohmpi\OhmPi\PCB_file_measurement_card\measurement_board\kicad_v4.00\VMN\VMN.kicad_sch"
"Date:","25/06/2022 19:30:02"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","STANDARD"
"","","Alim_5V_Digital_rasp_iso1540_mcp1","THD_15-1211N",":THD_15-1211N_1","THD_15-1211N:THD151211N","https://tracopower.com/thd15n-datasheet/","","","15 Watt DC/DC converter, industrial, 2:1 input, encapsulated, DIP-24","10.7","","","Traco Power","THD 15-1211N","495-THD15-1211N","https://www.mouser.co.uk/ProductDetail/TRACO-Power/THD-15-1211N?qs=ckJk83FOD0X2IyoEoPcnmg%3D%3D","",""
"","","Alim_5V_ina282_iso1","THD_15-1211N","THD_15-1211N:THD_15-1211N","THD_15-1211N:THD151211N","https://tracopower.com/thd15n-datasheet/","","","15 Watt DC/DC converter, industrial, 2:1 input, encapsulated, DIP-24","10.7","","","Traco Power","THD 15-1211N","495-THD15-1211N","https://www.mouser.co.uk/ProductDetail/TRACO-Power/THD-15-1211N?qs=ckJk83FOD0X2IyoEoPcnmg%3D%3D","",""
"","","Alim_analog_Vmn1","THD_15-1222N","THD_15-1222N:THD_15-1222N","THD_15-1222N:CONV_THD_15-1222N","","","","","","Traco Power","10.7mm","","","","","July 27, 2020","IPC 7351B"
"","","C1","100nF","Device:C_Small","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","","","","","","","","","","","",""
"","","C2","10uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","",""
"","","C3","10uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","",""
"","","C4","100nF","Device:C_Small","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","","","","","","","","","","","",""
"","","C5","100nF","Device:C_Small","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","","","","","","","","","","","",""
"","","C6","10uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","",""
"","","C7","100nF","Device:C_Small","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","","","","","","","","","","","",""
"","","C8","100nF","Device:C_Small","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","","","","","","","","","","","",""
"","","C9","10uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","",""
"","","C10","10uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","",""
"","","C11","10uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","",""
"","","C12","100nF","Device:C_Small","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","","","","","","","","","","","",""
"","","C13","10uF","Device:C_Small","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","",""
"","","C14",".1u","Device:C_Small","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~","","","","","","","","","","","",""
"","","D1","BAT86","Diode:BAT86","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/BAT86.pdf","","","","","","","","","","","",""
"","","D2","BAT86","Diode:BAT86","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/BAT86.pdf","","","","","","","","","","","",""
"","","D3","BAT86","Diode:BAT86","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/BAT86.pdf","","","","","","","","","","","",""
"","","D4","BAT86","Diode:BAT86","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/BAT86.pdf","","","","","","","","","","","",""
