1 2 3 4
1 3 5 7
1 4 7 10
1 5 9 13
1 6 11 16
1 7 13 19
1 8 15 22
1 9 17 25
2 3 4 5
2 4 6 8
2 5 8 11
2 6 10 14
2 7 12 17
2 8 14 20
2 9 16 23
2 10 18 26
3 4 5 6
3 5 7 9
3 6 9 12
3 7 11 15
3 8 13 18
3 9 15 21
3 10 17 24
3 11 19 27
4 5 6 7
4 6 8 10
4 7 10 13
4 8 12 16
4 9 14 19
4 10 16 22
4 11 18 25
4 12 20 28
5 6 7 8
5 7 9 11
5 8 11 14
5 9 13 17
5 10 15 20
5 11 17 23
5 12 19 26
5 13 21 29
6 7 8 9
6 8 10 12
6 9 12 15
6 10 14 18
6 11 16 21
6 12 18 24
6 13 20 27
6 14 22 30
7 8 9 10
7 9 11 13
7 10 13 16
7 11 15 19
7 12 17 22
7 13 19 25
7 14 21 28
7 15 23 31
8 9 10 11
8 10 12 14
8 11 14 17
8 12 16 20
8 13 18 23
8 14 20 26
8 15 22 29
8 16 24 32
9 10 11 12
9 11 13 15
9 12 15 18
9 13 17 21
9 14 19 24
9 15 21 27
9 16 23 30
10 11 12 13
10 12 14 16
10 13 16 19
10 14 18 22
10 15 20 25
10 16 22 28
10 17 24 31
11 12 13 14
11 13 15 17
11 14 17 20
11 15 19 23
11 16 21 26
11 17 23 29
11 18 25 32
12 13 14 15
12 14 16 18
12 15 18 21
12 16 20 24
12 17 22 27
12 18 24 30
13 14 15 16
13 15 17 19
13 16 19 22
13 17 21 25
13 18 23 28
13 19 25 31
14 15 16 17
14 16 18 20
14 17 20 23
14 18 22 26
14 19 24 29
14 20 26 32
15 16 17 18
15 17 19 21
15 18 21 24
15 19 23 27
15 20 25 30
16 17 18 19
16 18 20 22
16 19 22 25
16 20 24 28
16 21 26 31
17 18 19 20
17 19 21 23
17 20 23 26
17 21 25 29
17 22 27 32
18 19 20 21
18 20 22 24
18 21 24 27
18 22 26 30
19 20 21 22
19 21 23 25
19 22 25 28
19 23 27 31
20 21 22 23
20 22 24 26
20 23 26 29
20 24 28 32
21 22 23 24
21 23 25 27
21 24 27 30
22 23 24 25
22 24 26 28
22 25 28 31
23 24 25 26
23 25 27 29
23 26 29 32
24 25 26 27
24 26 28 30
25 26 27 28
25 27 29 31
26 27 28 29
26 28 30 32
27 28 29 30
28 29 30 31
29 30 31 32
