Component,Quantity,Cost per unit,Mouser ref,Manufacturer,Manufacturer reference,Description,Web link,Total cost EUR excl.VAT
100 kOhm resistor,13,0.223,594-5063JD100K0FT,MBA02040C1003FRP00,Vishay,Metal Film Resistors - Through Hole .4watt 100Kohms 1% 1/8watt body size,https://eu.mouser.com/ProductDetail/Vishay-Beyschlag/MBA02040C1003FRP00?qs=mzRxyRlhVdt9crF7Zyf%2F5Q%3D%3D,2.899
330 Ohms resistor,4,0.307,279-CFR100J330R,CFR100J330R,TE Connectivity,Carbon Film Resistors - Through Hole 330Ohm 1W 500PPM,https://eu.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/CFR100J330R?qs=DDevMFOh4ssVKnglsGY0HA%3D%3D,1.228
4.7 kOhms resistor,4,0.307,603-CFR-25JB-52-4K7,CFR-25JB-52-4K7,YAGEO,Carbon Film Resistors - Through Hole 1/4W 4.7K Ohm 5%,https://eu.mouser.com/ProductDetail/YAGEO/CFR-25JB-52-4K7?qs=oypCK0zG3252T%2FvSUvCH9g%3D%3D,1.228
2 ohms shunt resistor,1,1.33,588-WNC2R0FET,WNC2R0FET,Ohmite,Wirewound Resistors - Through Hole 2W 2 ohms 1%,https://eu.mouser.com/ProductDetail/Ohmite/WNC2R0FET?qs=CDPnWzNfzJb5BMolBZTI%252Bw%3D%3D,1.33
50V 1A general purpose rectifier diode DO-41,6,0.214,637-1N4001,1N4001,Diotec, Semiconductor Rectifiers Diode DO-41 50V 1A,https://eu.mouser.com/ProductDetail/Diotec-Semiconductor/1N4001?qs=OlC7AqGiEDlll8NA510wmA%3D%3D,1.284
cree LED,4,0.279,941-C503BGANCD0E0781,C503B-GAN-CD0E0781,Cree LED,Standard LEDs - Through Hole Green LED 527nm 5-mmRound 32900-64600mcd,https://eu.mouser.com/ProductDetail/Cree-LED/C503B-GAN-CD0E0781?qs=7D1LtPJG0i1J7Dm%252B%252B5IGZw%3D%3D,1.116
50V 0.2 A small signal schottky diode DO-35,2,0.437,771-BAT86113,BAT86 113,Nexperia,Schottky Diodes & Rectifiers BAT86/SOD68/DO-34,https://eu.mouser.com/ProductDetail/Nexperia/BAT86113?qs=me8TqzrmIYX1ahcmZsx1tg%3D%3D,0.874
OP27E (single ultra offset 8DIP),4,9.53,584-OP27EPZ,OP27EPZ,Analog Devices Inc.,Precision Amplifiers LOW-NOISE PRECISION OP AMP,https://eu.mouser.com/ProductDetail/Analog-Devices/OP27EPZ?qs=WIvQP4zGangDp3uWiH2URA%3D%3D,38.12
MCP23008 (GPIO expander),2,1.89,485-593,593,Adafruit,Adafruit Accessories MCP23008 - i2c 8 input/output port expander,https://eu.mouser.com/ProductDetail/Adafruit/593?qs=GURawfaeGuAf08zux7w%2FuQ%3D%3D,3.78
ADS1115 adafruit board (pack of 3),2,14.9,485-1085,1085,Adafruit,Data Conversion IC Development Tools ADS1115 16-Bit ADC - 4 Channel with Programmable Gain Amplifier,https://www.amazon.fr/AZDelivery-ADS1115-Parent-3X/dp/B07QHWLTTS/ref=sr_1_5?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=18WHXZ3E0NUR5&keywords=ads1115&qid=1702140215&sprefix=ads1115%2Caps%2C117&sr=8-5,14.99
