Components;Number;Cost per unit;Total cost ;Manufacturer;Manufacturer s reference;Web reference
Printed circuit board ;4;140;560;Asler;-;-
Pin strip no ejector  16 pins;16;0.62;9.92;BLK electronic;10120550;https://www.conrad.com/p/tru-components-1580994-pin-strip-no-ejector-contact-spacing-254-mm-total-number-of-pins-16-no-of-rows-2-1-pcs-1580994
diode-1n4007;256;0.091;23.296;Diodes Incorporated;1N4007-T;https://www.mouser.fr/ProductDetail/Diodes-Incorporated/1N4007-T?qs=sGAEpiMZZMueQxo7L%2FBPyAkbORUUMREn
Pin strip no ejector  6 pins;4;0.39;1.56;BLK electronic;10120550;https://www.conrad.com/p/tru-components-1580994-pin-strip-no-ejector-contact-spacing-254-mm-total-number-of-pins-16-no-of-rows-2-1-pcs-1580994
Dual screw terminal (5.08-mm pitch);12;0.648;7.776;CUI Devices;TB009-508-02BE;https://www.mouser.fr/ProductDetail/CUI-Devices/TB009-508-02BE?qs=vLWxofP3U2wCFk5uCkWTkA%3D%3D
Generic male header - 3 pins;12;0.205;2.46;TE Connectivity;4-103321-5;https://www.mouser.fr/ProductDetail/TE-Connectivity/4-103321-5?qs=5TwgZeq9E7HSYLqaljJYrw%3D%3D
MCP23017 I2C I/O Expander;16;2.5;40;Adafruit;732;https://www.mouser.fr/ProductDetail/Adafruit/732?qs=sGAEpiMZZMsKEdP9slC0Yfx16nYdMpXJueeOGoLBlDI%3D
Omron G5LE-1-VD 12 VDC PCB relay 12 V DC 8 A 1;256;1.27;325.12;Omron;G5LE-1-VD 12 VDC;https://www.conrad.com/p/omron-g5le-1-vd-12-vdc-pcb-relay-12-v-dc-8-a-1-change-over-1-pcs-503811
ZVN4206A   MOSFET-NCHANNEL;256;0.471;120.576;Diodes Incorporated ;ZVN4206A;https://www.mouser.fr/ProductDetail/Diodes-Incorporated/ZVN4206A?qs=vHuUswq2%252Bsz9b%2Ff6fcXt7g%3D%3D
100k Resistor;256;0.061;15.616;Vishay / Beyschlag ;MBA02040C1003FRP00 ;https://www.mouser.fr/ProductDetail/Vishay-Beyschlag/MBA02040C1003FRP00?qs=mzRxyRlhVdt9crF7Zyf%2F5Q%3D%3D
Adafruit TCA9548A;4;5.89;23.56;Adafruit ;2717;https://www.mouser.fr/ProductDetail/Adafruit/2717?qs=sGAEpiMZZMsyYdr3R27aV4EQf73yOH%252Baqg%252BZ3hVktao%3D
BKL Electronic 10120558 Pin strip no ejector Contact spacing: 2.54 mm Total number of pins: 16 No. of rows: 2 1 pc(s);16;0.51;8.16;BLK electronic;10120558;https://www.conrad.com/p/bkl-electronic-10120558-pin-strip-no-ejector-contact-spacing-254-mm-total-number-of-pins-16-no-of-rows-2-1-pcs-741727?searchTerm=741727&searchType=suggest&searchSuggest=product
BKL Electronic 10120862 Pin connector strain relief Contact spacing: 2.54 mm Total number of pins: 6 No. of rows: 2 1;16;0.84;13.44;BLK electronic;10120862;https://www.conrad.com/p/bkl-electronic-10120862-pin-connector-strain-relief-contact-spacing-254-mm-total-number-of-pins-6-no-of-rows-2-1-742063
BKL Electronic 10120158/10 Ribbon cable Contact spacing: 1.27 mm 16 x 0.08 mm Multi-coloured 10 m;1;27;27;BLK electronic;10120158/10;https://www.conrad.com/p/bkl-electronic-1012015810-ribbon-cable-contact-spacing-127-mm-16-x-008-mm-multi-coloured-10-m-1548658?searchTerm=1548658&searchType=suggest&searchSuggest=product
spacer 5.5 HEX 25 mm M3 male/female;31;2.79;86.49;Keystone Electronics ;24300;https://www.mouser.fr/ProductDetail/Keystone-Electronics/24300?qs=UWqYQ%2F2cZWu0ejpOzmZC2A%3D%3D
Screw;9;0.305;2.745;APM HEXSEAL;RM3X8MM-2701;https://www.mouser.fr/ProductDetail/APM-HEXSEAL/RM3X8MM-2701?qs=JJSE%2F12mKnS3VxSDrYXUHw%3D%3D
spacer 5.5 HEX 25 mm M3 female/female;9;0.846;7.614;Keystone Electronics ;25515;https://www.mouser.fr/ProductDetail/Keystone-Electronics/25515?qs=UWqYQ%2F2cZWuxuhUmfr%252BZuQ%3D%3D
