Component,Quantity,Cost per unit,Reference,Order platform,Manufacturer,Manufacturer reference,Description,Web link,Total cost EUR excl.VAT
100 kOhm resistor,14,0.22,594-5063JD100K0FT,mouser,MBA02040C1003FRP00,Vishay,Metal Film Resistors - Through Hole .4watt 100Kohms 1% 1/8watt body size,https://eu.mouser.com/ProductDetail/Vishay-Beyschlag/MBA02040C1003FRP00?qs=mzRxyRlhVdt9crF7Zyf%2F5Q%3D%3D,2.90
1 kOhm resistor 5%,2,0.19,603-FMP100JR-52-1K,mouser,,YAGEO,,https://www.mouser.fr/ProductDetail/YAGEO/FMP100JR-52-1K?qs=PG6CdkgpaC4rfLZElyVcnA%3D%3D,0.37
330 Ohms resistor,3,0.31,603-MFR-25FRF52-330R ,mouser,CFR100J330R,TE Connectivity,Carbon Film Resistors - Through Hole 330Ohm 1W 500PPM,https://eu.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/CFR100J330R?qs=DDevMFOh4ssVKnglsGY0HA%3D%3D,1.23
4.7 kOhms resistor,2,0.31,594-NFR25H0004701JR5,mouser,CFR-25JB-52-4K7,YAGEO,Carbon Film Resistors - Through Hole 1/4W 4.7K Ohm 5%,https://eu.mouser.com/ProductDetail/YAGEO/CFR-25JB-52-4K7?qs=oypCK0zG3252T%2FvSUvCH9g%3D%3D,1.23
2 ohms shunt resistor,1,1.33,71-CPF2-F-2/R,mouser,WNC2R0FET,Ohmite,Wirewound Resistors - Through Hole 2W 2 ohms 1%,https://eu.mouser.com/ProductDetail/Ohmite/WNC2R0FET?qs=CDPnWzNfzJb5BMolBZTI%252Bw%3D%3D,1.33
50V 1A general purpose rectifier diode DO-41,7,0.21,621-1N4007,mouser,1N4001,Diotec,Semiconductor Rectifiers Diode DO-41 50V 1A,https://eu.mouser.com/ProductDetail/Diotec-Semiconductor/1N4001?qs=OlC7AqGiEDlll8NA510wmA%3D%3D,1.28
cree LED,3,0.28,941-C503BGANCD0E0781,mouser,C503B-GAN-CD0E0781,Cree LED,Standard LEDs - Through Hole Green LED 527nm 5-mmRound 32900-64600mcd,https://eu.mouser.com/ProductDetail/Cree-LED/C503B-GAN-CD0E0781?qs=7D1LtPJG0i1J7Dm%252B%252B5IGZw%3D%3D,1.12
50V 0.2 A small signal schottky diode DO-35,2,0.44,771-BAT86133,mouser,BAT86 113,Nexperia,Schottky Diodes & Rectifiers BAT86/SOD68/DO-34,https://eu.mouser.com/ProductDetail/Nexperia/BAT86113?qs=me8TqzrmIYX1ahcmZsx1tg%3D%3D,0.87
OP27E (single ultra offset 8DIP),3,9.53,584-OP27EPZ ,mouser,OP27EPZ,Analog Devices Inc.,Precision Amplifiers LOW-NOISE PRECISION OP AMP,https://eu.mouser.com/ProductDetail/Analog-Devices/OP27EPZ?qs=WIvQP4zGangDp3uWiH2URA%3D%3D,28.59
MCP23008 (GPIO expander),2,1.89,579-MCP23008-E/P,mouser,593,Adafruit,Adafruit Accessories MCP23008 - i2c 8 input/output port expander,https://eu.mouser.com/ProductDetail/Adafruit/593?qs=GURawfaeGuAf08zux7w%2FuQ%3D%3D,3.78
