Component,Quantity,Cost per unit,Mouser ref,Manufacturer,Manufacturer reference,Description,Web link,Costs (w. STP16NF06),Costs (w. ZVN06A)
Printed circuit board ,1,-,,,,1 PCB but often sold by 3,https://aisler.net/,,
100nF,2,0.22,80-C320C104K1R-TR,KEMET,C320C104K1R5TA7303 ,Unpolarized capacitor,https://www.mouser.be/ProductDetail/KEMET/C320C104K1R5TA7303?qs=c4UyoTs%2FLq1th4mcyOeTmA%3D%3D,0.44,0.44
10uF,2,0.24,667-ECA-1JHG100B,Panasonic,ECA-1JHG100B ,Polarized capacitor,https://www.mouser.be/ProductDetail/Panasonic/ECA-1JHG100B?qs=sGAEpiMZZMsh%252B1woXyUXjwqc6mjIxHHVIg82xUwbopY%3D,0.48,0.48
1N_E4007,32,0.13,621-1N4007,Diodes Incorporated,1N4007-T ,"1000V 1A General Purpose Rectifier Diode, DO-41",https://eu.mouser.com/ProductDetail/Diodes-Incorporated/1N4007-T?qs=e%2FRqmsgwm9iVtgJYUW23AA%3D%3D,4.16,4.16
Relays Pwr,1,0.55,571-2828372,TE Connectivity,282837,"Generic screw terminal, single row, 01x02",https://eu.mouser.com/ProductDetail/TE-Connectivity/282837-2?qs=A%252Bip%252BNCYi6O2H0NGWOeAxg%3D%3D,0.55,0.55
6 pos. 2 rows IDC connector,1,0.44,710-61200621621,Wurth Elektronik ,61200621621,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",https://eu.mouser.com/ProductDetail/Wurth-Elektronik/61200621621?qs=PhR8RmCirEbjX8n1RKw4Jw%3D%3D,0.44,0.44
6 pos. 2 rows.  IDC sockets (go on the ribon cable),1,0.43,710-61200623021,61200623021,Wurth Elektronik,Headers & Wire Housings WR-BHD 2.54mm Female 6P Strt IDC Conn,https://eu.mouser.com/ProductDetail/Wurth-Elektronik/61200623021?qs=PhR8RmCirEabk1Ywkdxzfw%3D%3D,0.43,0.43
Screw Terminals (2* 2P + 8*2P),10,0.55,571-2828372,TE Connectivity,282837-2 ,Generic screw terminal,https://eu.mouser.com/ProductDetail/TE-Connectivity/282837-2?qs=A%252Bip%252BNCYi6O2H0NGWOeAxg%3D%3D,1.10,1.10
16 pos. 2 rows IDC connector,1,0.58,710-61201621621,Wurth Elektronik ,61201621621,"Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",https://eu.mouser.com/ProductDetail/Wurth-Elektronik/61201621621?qs=ZtY9WdtwX55qFf4n3EFuaA%3D%3D,0.58,0.58
16 pos. 2 rows IDC socket,1,0.73,710-61201623021,Wurth Elektronik ,61201623021,Generic double row IDC socket,https://eu.mouser.com/ProductDetail/Wurth-Elektronik/61201623021?qs=ZtY9WdtwX57DLOr1z4RBOw%3D%3D,0.73,0.73
3-pin header,2,0.17,571-4-103321-5,TE Connectivity,4-103321-5,"Jumper, 3-pole, both open",https://eu.mouser.com/ProductDetail/TE-Connectivity/4-103321-5?qs=5TwgZeq9E7HSYLqaljJYrw%3D%3D,0.34,0.34
G5LE-1A DC12,32,1.18,653-G5LE-1ADC12,Omron Electronics,G5LE-1A DC12,"Omron G5LE relay, Miniature Single Pole, SPDT, 10A",https://eu.mouser.com/ProductDetail/Omron-Electronics/G5LE-1A-DC12?qs=sGAEpiMZZMsqIr59i2oRcj2o81oJCrqXrP4H3ZdDYK4%3D,37.76,37.76
STP16NF06,32,1.08,511-STP16NF06,STMicroelectronics ,STP16NF06 ,"30A Id, 50V Vds, N-Channel Power MOSFET, TO-220",https://eu.mouser.com/ProductDetail/STMicroelectronics/STP16NF06?qs=FOlmdCx%252BAA3QgI0ylnH1gA%3D%3D,34.56,
ZVN4206A,32,0.60,522-ZVN4206AVSTZ,Diodes Incorporated,ZVN4206AVSTZ ,"30A Id, 50V Vds, N-Channel Power MOSFET, TO-220",https://eu.mouser.com/ProductDetail/Diodes-Incorporated/ZVN4206AVSTZ?qs=%2F4dsY8i%2FUxLhPG5M4pjuJg%3D%3D,,19.20
100k,34,0.10,594-5063JD100K0FT,Vishay / Beyschlag,MBA02040C1003FRP00,Resistor,https://eu.mouser.com/ProductDetail/Vishay-Beyschlag/MBA02040C1003FRP00?qs=mzRxyRlhVdt9crF7Zyf%2F5Q%3D%3D,3.40,3.40
MCP23017_SP,2,1.53,579-MCP23017-E/SP,Microchip Technology,MCP23017-E/SP,"16-bit I/O expander, I2C, interrupts, w pull-ups, SPDIP-28",https://eu.mouser.com/ProductDetail/Microchip-Technology/MCP23017-E-SP?qs=usxtMOJb1RyESXZDw7ia5A%3D%3D,3.06,3.06
2-way jumper,2,0.30,571-1-881545-2,TE Connectivity,1-881545-2, - ,https://eu.mouser.com/ProductDetail/TE-Connectivity/1-881545-2?qs=G55MHhPmvtILJr8pg2%2FD4w%3D%3D,0.60,0.60
18-way socket,2,2.36,437-1108331841001101 ,Preci-dip, 110-83-318-41-001101 ,"2.54mm Pitch Vertical 28 Way, Through Hole Turned Pin IC Dip Socket, 3A",https://eu.mouser.com/ProductDetail/Preci-dip/110-83-318-41-001101?qs=FtMuP6KVi2TNQOezIAQ%2FPA%3D%3D,4.72,4.72
BKL Electronic 10120158/10 Ribbon cable Contact spacing: 1.27 mm 16 x 0.08 mm Multi-coloured 10 m,1,,,BLK electronic,10120158/10,,https://www.conrad.com/p/bkl-electronic-1012015810-ribbon-cable-contact-spacing-127-mm-16-x-008-mm-multi-coloured-10-m-1548658?searchTerm=1548658&searchType=suggest&searchSuggest=product,27.00,27.00
TOTAL,,,,,,,,120.36,105.00
